ticker,oldest_date,Name_,IncInDt,LastName,FirstName,URL
1IL,,Wayne Farms Inc,2015-03-04 00:00:00.000,Maddox,Elton,http://waynefarms.com/
2012,,Sunshine Oilsands Ltd,2007-02-22 00:00:00.000,Ho,Pui Yun,https://sunshineoilsands.com/
360,,Life360 Inc,2007-04-17 00:00:00.000,Haro,Alexander,https://www.life360.com/
489,,Dongfeng Motor Group Co Ltd,2001-05-18 00:00:00.000,Zhou,Zhiping,http://www.dfmg.com.cn
52ALGNU,,Alianza Compania de Segurs Rasgrs SA EMA,1991-09-07 00:00:00.000,Adler Yanez,Rodolfo Ignacio,http://www1.alianza.com.bo/
52ALINU,,Alianza Vida Seguros y Reaseguros SA,1999-07-05 00:00:00.000,Adler Yanez,Rodolfo Ignacio,http://www2.alianza.com.bo/AlianzaVida.aspx
52BILNA,,Bisa Leasing SA,2008-01-01 00:00:00.000,Barrios Santivanez,Tomas Nelson,https://www.bisaleasing.com/index.php
52BISNU,,Banco BISA SA,1963-04-27 00:00:00.000,Garcia Rodriguez,Luis Enrique,https://bisa.com/
52BMENU,,Banco Mercantil Santa Cruz SA,1905-01-01 00:00:00.000,Salaues Almaraz,Juan Carlos,https://www.bmsc.com.bo/
52BNBNU,,Banco Nacional de Bolivia SA,,Eterovic Nigoevic,Tonchi,https://www.bnb.com.bo/
52BSONU,,Banco Solidario SA,1991-12-11 00:00:00.000,Osvaldo Ferraro,Enrique,https://www.bancosol.com.bo/
52BVCNU,,Bodegas y Vinedos de La Concepcion SA,1993-06-01 00:00:00.000,Barragan Arce,Mario Roberto,https://www.laconcepcion.bo/
52CORNU,,Empresa Electrica ENDE Corani SA,1995-08-21 00:00:00.000,Rodriguez Gutierrez,Joaquin,http://www.endecorani.bo/
52EEONU,,Distribuidora de Electricidad Ede Der SA,1921-01-24 00:00:00.000,Pardo Iriarte,Javier Ronaldo,https://www.deoruro.bo/
52EFONU,,Ferroviaria Oriental SA,1995-11-23 00:00:00.000,Gill Ramirez,Carlos Enrique,https://www.fo.com.bo/Paginas/Inicio.aspx
52ELFNU,,Empresa de Luz y Fuerza Elect Cochbmb SA,1908-03-18 00:00:00.000,Veizaga Baqueros,Ronald Alberto,https://www.elfec.bo/
52ELPNU,,Distribuidora de Electricd la Pz SA DLPZ,1995-05-25 00:00:00.000,Lafuente Claros,Jose Antonio,https://www.delapaz.bo/
52EPANU,,Ypfb Andina SA,1998-11-03 00:00:00.000,Barriga Arteaga,Oscar Javier,https://www.ypfb-andina.com.bo/
52FCANU,,Empresa Ferroviaria Andina SA,1995-11-27 00:00:00.000,Montiel Parra,Leonor,https://ferroviaria-andina.com.bo/
52GUANU,,Empresa Electrica Emde Guaracachi SA,1995-05-30 00:00:00.000,Rodriguez Gutierrez,Joaquin,https://www.guaracachi.com.bo/
52HLTNU,,Sociedad Hotelera Los Tajibos S.A.,1981-12-17 00:00:00.000,Gumucio Karstulovic,Armando Ramiro,https://www.lostajiboshotel.com/es
52NFBNB,,Banco De Desarrollo Productivo SAM,1996-03-28 00:00:00.000,Paz Bernardini,Ninette,https://www.bdp.com.bo/
52NSPNU,,Nacional Seguros Vida y Salud SA,1999-04-26 00:00:00.000,Cavero Ramos,Aldo Ronald,https://nacionalseguros.com.bo/
52PCHNU,,Empresa Petrolera YPFB Chaco SA,1996-11-27 00:00:00.000,Acha Morales,Guillermo Luis,https://www.ypfbchaco.com.bo/
52PLRNU,,Tigre SA Tubos Conexiones y Cables,1964-06-22 00:00:00.000,Becker von Sothen,Otto Rudolf,http://tigre.com.bo/
52PRSNU,,Seguros Provida SA,1999-05-28 00:00:00.000,Clavijo Castro,Luis Nolberto,http://www.segurosprovida.com.bo/
52RAINU,,Almacenes Internacionales SA,1992-05-28 00:00:00.000,Montes,Alfonso Ibanez,https://www.raisabisa.com/
52SBCNU,,Sociedad Boliviana de Cemento SA,1925-09-24 00:00:00.000,Cornejo Uriarte,Aldo Luigi,https://www.soboce.com
52TRDNU,,YPFB Transporte SA,,Barriga Arteaga,Oscar Javier,https://www.ypfbtransporte.com.bo/
52VAHNU,,ENDE Valle Hermoso SA,1995-08-01 00:00:00.000,Paz Castro,Eduardo,https://www.evh.bo/
6160,,Beigene Ltd,2010-10-28 00:00:00.000,Oyler,John,https://www.beigene.com/
6697,,Techpoint Inc (JDR),2017-06-29 00:00:00.000,Kuo,Feng,http://www.techpointinc.net/
688235,,Beigene Ltd,2010-10-28 00:00:00.000,Oyler,John,https://www.beigene.com/
9399,,Beat Holdings Ltd,2004-01-01 00:00:00.000,Fui,Chin,https://beatholdings.com/
950140,,Englewood Lab Inc,2015-08-20 00:00:00.000,Kim,John Hwa,http://englewoodlab.com
950160,,Kolon TissueGene Inc,1999-06-09 00:00:00.000,Han,Seong Su,https://www.tissuegene.com/
950200,,Psomagen Inc,2004-12-02 00:00:00.000,Hong,Su,https://psomagen.com/
A,2007-08-21,Agilent Technologies Inc,1999-05-04 00:00:00.000,Mcdonnell,Padraig,https://www.agilent.com/
A.H,,Armor Minerals Inc,2006-11-24 00:00:00.000,Warke,Richard,https://www.armorminerals.com/
AA,2007-08-21,Alcoa Corp,2016-03-10 00:00:00.000,Oplinger,William,https://www.alcoa.com/global/en/home
AAA,2020-09-09,,,,,
AAAU,2018-08-15,,,,,
AAB,,Aberdeen International Inc,2006-07-04 00:00:00.000,Shetty,Devidas,http://www.aberdeen.green/
AACG,2019-10-17,ATA Creativity Global (ADR),2006-09-01 00:00:00.000,Zhang,Jun,http://www.ata.net.cn
AACS,,"American Commerce Solutions, Inc.",1994-01-19 00:00:00.000,Keena,John,https://aacssymbol.com/
AACT,2023-06-12,,,,,
AACT.UN,2023-04-21,,,,,
AADI,2021-08-27,Aadi Bioscience Inc,2007-11-16 00:00:00.000,Delaney,Brendan,https://aadibio.com/
AADR,2021-06-03,,,,,
AAG,,Aftermath Silver Ltd,2011-01-27 00:00:00.000,Parker,Mike,https://aftermathsilver.com/
AAGC,,All American Gold Corp,2006-05-17 00:00:00.000,Meza,Arlene,http://www.allamericangoldcorp.com/
AAGH,,America Great Health,2017-03-09 00:00:00.000,Wang,Mike,https://www.americagreathealth.us/
AAIIQ,,"Alabama Aircraft Industries, Inc.",2000-04-12 00:00:00.000,Aramini,Ronald,http://www.alabamaaircraft.com/
AAISA,,Administradora Americana de Inversons SA,2021-10-05 00:00:00.000,Legher Aguilar,David,https://www.aaisa.net/
AAL,2013-12-11,American Airlines Group Inc,1982-02-16 00:00:00.000,Kerr,Derek,https://americanairlines.gcs-web.com/
AALI.H,,Advance Lithium Corp,2007-04-04 00:00:00.000,Newell,Bradley,https://advancelithiumcorp.com/
AALQL,,Rumo SA (ADR),1997-09-30 00:00:00.000,Eduardo Martins,Marcelo,https://rumolog.com/
AAM,2024-09-16,,,,,
AAM.UN,2024-08-01,,,,,
AAMCF,,Altisource Asset Management Corp,2012-03-15 00:00:00.000,Byrd,Ricardo,https://www.altisourceamc.com/
AAME,2007-08-20,Atlantic American Corporation,1968-01-04 00:00:00.000,Howell,Hilton,https://www.atlam.com/
AAN,,Aton Resources Inc,2008-04-30 00:00:00.000,Vahk,Tonno,https://www.atonresources.com/
AAOI,2013-09-26,,,,,
AAON,2007-08-20,Aaon Inc,1987-08-18 00:00:00.000,Fields,Gary,https://www.aaon.com/
